angulo,timestamp,posicao_correlacao_maxima
135,2026-07-09T10:13:31.551,0
135,2026-07-09T10:13:32.833,1
135,2026-07-09T10:13:33.716,0
135,2026-07-09T10:13:34.646,0
135,2026-07-09T10:13:35.870,6
135,2026-07-09T10:13:36.766,0
135,2026-07-09T10:13:38.001,12
135,2026-07-09T10:13:38.890,1
135,2026-07-09T10:13:39.867,0
135,2026-07-09T10:13:41.149,7
135,2026-07-09T10:13:42.146,0
135,2026-07-09T10:13:43.173,34
135,2026-07-09T10:13:44.431,1
135,2026-07-09T10:13:45.299,5
135,2026-07-09T10:13:46.192,256
135,2026-07-09T10:13:47.396,0
135,2026-07-09T10:13:48.319,6
135,2026-07-09T10:13:49.196,1
135,2026-07-09T10:13:50.441,1
135,2026-07-09T10:13:51.341,222
135,2026-07-09T10:13:52.585,0
135,2026-07-09T10:13:53.451,6
135,2026-07-09T10:13:54.676,5
135,2026-07-09T10:13:55.585,1
135,2026-07-09T10:13:56.450,1
135,2026-07-09T10:13:57.702,0
135,2026-07-09T10:13:58.634,6
135,2026-07-09T10:13:59.510,0
135,2026-07-09T10:14:00.744,1
135,2026-07-09T10:14:01.636,1
135,2026-07-09T10:14:02.925,0
135,2026-07-09T10:14:03.815,6
135,2026-07-09T10:14:05.011,0
135,2026-07-09T10:14:06.266,1
135,2026-07-09T10:14:07.144,0
135,2026-07-09T10:14:08.035,5
135,2026-07-09T10:14:09.244,0
135,2026-07-09T10:14:10.151,0
135,2026-07-09T10:14:11.383,1
135,2026-07-09T10:14:12.287,1
135,2026-07-09T10:14:13.621,222
135,2026-07-09T10:14:14.227,0
135,2026-07-09T10:14:15.153,6
135,2026-07-09T10:14:16.448,2
135,2026-07-09T10:14:17.310,1
135,2026-07-09T10:14:18.197,0
135,2026-07-09T10:14:19.397,6
135,2026-07-09T10:14:20.294,1
135,2026-07-09T10:14:21.173,1
135,2026-07-09T10:14:22.408,0
135,2026-07-09T10:14:23.328,6
135,2026-07-09T10:14:24.530,0
135,2026-07-09T10:14:25.411,1
135,2026-07-09T10:14:26.315,1
135,2026-07-09T10:14:27.553,6
135,2026-07-09T10:14:28.431,7
135,2026-07-09T10:14:29.321,0
135,2026-07-09T10:14:30.566,1
135,2026-07-09T10:14:31.924,0
135,2026-07-09T10:14:32.834,160
135,2026-07-09T10:14:33.755,0
135,2026-07-09T10:14:35.009,176
135,2026-07-09T10:14:35.924,0
135,2026-07-09T10:14:37.172,1
135,2026-07-09T10:14:38.094,0
135,2026-07-09T10:14:38.972,165
135,2026-07-09T10:14:40.217,5
135,2026-07-09T10:14:41.115,1
135,2026-07-09T10:14:42.376,0
135,2026-07-09T10:14:43.247,7
135,2026-07-09T10:14:44.526,5
135,2026-07-09T10:14:45.372,1
135,2026-07-09T10:14:46.237,0
135,2026-07-09T10:14:47.452,7
135,2026-07-09T10:14:48.363,6
135,2026-07-09T10:14:49.576,1
135,2026-07-09T10:14:50.490,1
135,2026-07-09T10:14:51.749,7
135,2026-07-09T10:14:52.632,6
135,2026-07-09T10:14:53.863,1
135,2026-07-09T10:14:54.750,1
135,2026-07-09T10:14:55.965,6
135,2026-07-09T10:14:56.858,0
135,2026-07-09T10:14:58.109,1
135,2026-07-09T10:14:59.010,1
135,2026-07-09T10:15:00.227,6
135,2026-07-09T10:15:01.119,0
135,2026-07-09T10:15:02.031,12
135,2026-07-09T10:15:03.300,1
135,2026-07-09T10:15:04.210,6
135,2026-07-09T10:15:05.394,0
135,2026-07-09T10:15:06.315,1
135,2026-07-09T10:15:07.503,0
135,2026-07-09T10:15:08.433,188
135,2026-07-09T10:15:09.653,0
180,2026-07-09T10:15:26.442,1
180,2026-07-09T10:15:27.316,0
180,2026-07-09T10:15:28.245,5
180,2026-07-09T10:15:29.436,1
180,2026-07-09T10:15:30.327,0
180,2026-07-09T10:15:31.528,6
180,2026-07-09T10:15:32.404,1
180,2026-07-09T10:15:33.632,0
180,2026-07-09T10:15:34.562,6
180,2026-07-09T10:15:35.421,1
180,2026-07-09T10:15:36.690,0
180,2026-07-09T10:15:37.560,5
180,2026-07-09T10:15:38.854,1
180,2026-07-09T10:15:39.761,0
180,2026-07-09T10:15:41.049,0
180,2026-07-09T10:15:41.919,252
180,2026-07-09T10:15:42.834,1
180,2026-07-09T10:15:44.097,0
180,2026-07-09T10:15:44.997,1
180,2026-07-09T10:15:46.250,1
180,2026-07-09T10:15:47.133,0
180,2026-07-09T10:15:48.335,1
180,2026-07-09T10:15:49.200,7
180,2026-07-09T10:15:50.404,0
